log2FoldChange	padj
Niben101Scf02996g06007	45.240320720058	1.16742341696093e-50
Niben101Scf13118g00003	5.68860600292581	5.97539949726573e-182
Niben101Scf00063g10004	-34.5908252708932	6.60653955153654e-06
Niben101Scf08127g08009	6.03018395493813	4.32852099070527e-175
Niben101Scf01789g03003	6.86198542955164	1.19603836691483e-156
Niben101Scf03302g04007	31.5753038933005	4.40927674622727e-05
Niben101Ctg12033g00001	-30.1101295906609	0.00010242578917789
Niben101Scf17561g00009	6.97776326982398	1.29621476661526e-138
Niben101Ctg06829g00002	23.3728343275143	3.35087168551597e-08
Niben101Scf00225g00008	6.95369071371413	8.35680487424543e-135
Niben101Scf08940g01001	7.61625282737615	1.8029385079014e-133
Niben101Ctg14192g00001	-21.9678854942706	1.57643191366561e-07
Niben101Scf03265g00012	4.18297952389945	1.94299299536737e-120
Niben101Scf00821g15009	6.30868784628679	2.16148575584487e-118
Niben101Scf04778g02018	21.4826157553061	6.92527365702309e-08
Niben101Ctg08558g00002	21.0920891909096	2.86060609936838e-10
Niben101Scf09387g02004	8.80312554102609	4.29490407915231e-112
Niben101Scf03191g05007	13.4744343224598	1.02395770873375e-25
Niben101Scf09928g01001	5.72906154434359	4.87070843531107e-110
Niben101Scf03861g01001	13.4218152773304	1.12213635101056e-18
Niben101Scf02838g07016	7.34068574130942	3.04644208090557e-107
Niben101Scf10055g07005	6.69507021419312	3.04644208090557e-107
Niben101Scf05824g02004	13.0260081291677	2.30570371993578e-24
Niben101Scf00354g01012	13.0158958647695	4.36207630382549e-22
Niben101Scf02736g02001	7.64687058778294	2.64275109129998e-105
Niben101Scf01249g06013	12.9005529646772	2.7226010485325e-48
Niben101Scf02479g03009	9.20335986276712	3.45018360486626e-104
Niben101Scf04424g00001	-12.7763193509188	1.22938320459084e-09
Niben101Scf34386g00010	-6.09786922780657	3.49756332249316e-104
Niben101Scf03438g02001	12.6923177339213	1.16553269277682e-18
Niben101Scf04122g05014	6.21558606464928	2.7615373466108e-103
Niben101Scf00149g10001	12.5731766436421	1.86228271802214e-23
Niben101Scf09846g01010	5.64033363433795	2.14592784054279e-102
Niben101Scf01534g02014	12.3320996461735	1.94807988841248e-51
Niben101Scf10688g01013	7.8105585876794	1.82906762463701e-99
Niben101Scf04621g00006	12.3042721817977	1.21294254166447e-20
Niben101Scf22099g00006	6.27311962423905	7.33618753155597e-98
Niben101Scf04401g06001	12.2971287463267	3.86005366485267e-22
Niben101Scf10688g02001	8.57665605437241	2.55141649926365e-97
Niben101Scf01580g05003	9.45355738587459	2.96706234814738e-96
Niben101Scf02763g03011	12.2962460270976	1.31305077978256e-20
Niben101Scf04362g07009	12.1949320410038	9.73501941348589e-21
Niben101Scf05711g00021	7.47497270371067	3.45484931515781e-95
Niben101Scf01445g02008	12.1063807655072	1.1708663138152e-20
Niben101Scf03292g03005	11.0760015666072	1.46640283653457e-94
Niben101Scf02393g02025	12.0896208781661	1.93877887837804e-16
Niben101Scf04779g01029	7.81171727532123	8.00518009949315e-93
Niben101Scf03226g03006	12.0741770939102	2.70924807456758e-19
Niben101Scf08799g00001	7.54198127968497	1.94018067232056e-92
Niben101Scf00270g15011	12.0178648347669	6.66227628472445e-15
Niben101Scf00557g03004	4.61644448446492	5.34939382702086e-92
Niben101Scf01239g02002	6.12090379144628	3.10051630742229e-90
Niben101Scf04973g02010	12.0141997218216	5.42610489851442e-17
Niben101Scf07751g00003	7.76426988947213	4.94647533821384e-90
Niben101Scf10086g00004	11.823312459295	8.78569769917218e-17
Niben101Scf04422g14001	11.6278383225982	8.54617193268812e-19
Niben101Scf08767g00003	4.12959123594337	5.38676120003092e-88
Niben101Scf02171g00007	6.84283634499667	8.61926431662603e-88
Niben101Scf06245g01017	11.6187272332999	1.05008005164613e-32
Niben101Scf06078g01001	-6.59950276885035	2.50684543977048e-87
Niben101Scf27527g00004	11.5922458494344	3.27598305562045e-27
Niben101Scf01037g10003	8.68320931557482	1.47539459577054e-86
Niben101Scf04787g02002	11.5489061450781	1.02906819502052e-22
Niben101Scf03600g04029	5.96681182928044	2.43464295543582e-86
Niben101Scf06277g00007	11.5408067980475	1.14262213271324e-27
Niben101Scf06504g01012	5.0208515739304	2.2738624468506e-85
Niben101Scf07115g00008	-11.5280279458395	1.85981034007763e-11
Niben101Scf08390g03006	11.5279622097555	3.28669708115091e-15
Niben101Scf35444g00004	7.23970749210989	6.66767454119766e-85
Niben101Scf00220g03001	9.1747967993174	9.53073977790616e-85
Niben101Scf04594g02003	11.5180812864258	3.6390956103971e-18
Niben101Scf01587g00005	11.4835592139922	7.16565568986122e-18
Niben101Scf03143g11004	4.09407465718855	4.53088190542664e-83
Niben101Scf03930g00018	8.31296566905355	1.45984401379909e-82
Niben101Scf07165g00009	11.4785296976025	1.62013490308516e-19
Niben101Scf01241g02004	7.26631029234579	3.26201699578737e-82
Niben101Scf01696g06043	11.463440915983	3.5587733519467e-14
Niben101Ctg13610g00001	11.3496052321318	4.80760844223834e-15
Niben101Scf11325g00011	5.24842156233465	2.85423644185161e-80
Niben101Ctg14008g00002	6.44198221360708	4.25491696119773e-80
Niben101Scf07001g00004	11.3401039059725	1.59417882603612e-17
Niben101Scf02910g01040	-4.6594495959153	1.26266186001415e-79
Niben101Scf24496g01001	11.2685182552919	6.29287959824884e-19
Niben101Ctg09684g00002	11.1971020154607	7.44532697012203e-17
Niben101Scf14852g00006	6.55718978973147	3.01986122544134e-79
Niben101Scf02659g02016	-11.1496352706718	5.1018729937129e-17
Niben101Scf04406g07002	5.05711592737859	3.08102632886362e-78
Niben101Scf07355g02001	11.1225228761993	1.91755356804037e-14
Niben101Scf19517g00019	4.60888212699423	4.7402152910091e-78
Niben101Scf00712g02011	11.1118500918274	2.11211682120118e-26
Niben101Scf04143g01004	7.64074871810748	6.48578265501552e-77
Niben101Scf03026g01009	8.970670431534	4.47967538592281e-76
Niben101Scf03927g03006	11.0938007175381	2.37697788162494e-10
Niben101Scf01147g04015	9.11017874426007	1.00869576626254e-75
Niben101Scf03861g00009	8.89759980743112	4.20207979930358e-75
Niben101Scf11649g01009	11.0673789887197	2.64539593186109e-41
Niben101Scf03422g04036	9.13010411107223	4.42880535056872e-73
Niben101Scf12102g01006	11.0643555720777	2.9918386303986e-17
Niben101Scf05133g06002	10.559566864106	5.74670645208563e-73
Niben101Scf05824g04004	11.0229853748149	2.22732590347209e-14
Niben101Scf11922g01019	10.9487968942184	3.45200574044448e-44
Niben101Scf05458g00003	6.00540019931597	4.88753618225749e-72
Niben101Scf15077g00007	4.67178544853651	4.88753618225749e-72
Niben101Ctg02231g00001	10.9437213885104	6.82215374978742e-16
Niben101Scf01313g01005	10.9284456323707	3.94292125624869e-15
Niben101Scf08057g00006	6.51711443774777	1.69708189594686e-71
Niben101Scf03362g05002	5.42879286097205	6.0500955523145e-71
Niben101Scf20636g00002	-10.8958155395957	1.28987640412768e-06
Niben101Scf00077g03005	10.8105959497239	3.37119394320592e-36
Niben101Scf05368g06016	5.4722331717739	2.55369709667713e-70
Niben101Ctg06481g00003	10.7782015530536	3.31413182028794e-17
Niben101Scf07586g00004	7.30465389712454	5.86069187831112e-70
Niben101Scf02790g05015	-2.83118841844516	6.25767138883426e-70
Niben101Scf04702g06003	10.7712519019758	2.28690362840177e-16
