log2FoldChange	padj
Niben101Scf02996g06007	46.8180632575716	8.99706562440333e-55
Niben101Scf08127g08009	7.03994036249779	3.59752987281374e-239
Niben101Scf00063g10004	-34.2294258286291	5.36180360345418e-06
Niben101Scf13118g00003	6.37061042629856	3.41021825992886e-229
Niben101Scf03302g04007	33.4953204587089	8.72482204546821e-06
Niben101Scf08940g01001	8.68311596650465	9.39918000851529e-174
Niben101Ctg16210g00007	-29.3256774437965	1.80421979989861e-47
Niben101Scf00821g15009	7.36318530123741	1.24126668174317e-161
Niben101Scf06779g03028	28.0946562564757	0.000215406441635006
Niben101Scf17561g00009	7.17261673999751	1.28019492846595e-146
Niben101Scf00225g00008	7.24096204526238	2.04976185515013e-146
Niben101Scf02807g11019	-25.8348434448781	7.87302265147784e-20
Niben101Ctg06829g00002	25.5586340566706	7.17980060424836e-10
Niben101Scf11325g00011	6.97055161004556	8.04727867364941e-142
Niben101Scf03600g04029	7.62063996472745	2.03725935434867e-141
Niben101Scf04778g02018	22.9818555964292	3.93639975343789e-09
Niben101Scf02479g03009	10.6663164657732	2.82838805328551e-140
Niben101Ctg14192g00001	-20.8488091333051	4.25081791531215e-07
Niben101Scf01789g03003	6.44014294772186	3.75817086996964e-138
Niben101Ctg08558g00002	20.743745806587	3.14823732734873e-10
Niben101Scf34386g00010	-8.10434562455876	7.72123081288539e-138
Niben101Scf22099g00006	7.42409179928313	2.0211381858036e-137
Niben101Scf03861g01001	17.0823236721084	3.5455005867281e-30
Niben101Scf09928g01001	6.36609516996442	2.22975645989582e-136
Niben101Scf00354g01012	15.7615033182254	1.71237159227517e-32
Niben101Scf01580g05003	11.1963308387046	2.20598612111375e-135
Niben101Scf01249g06013	15.0560777446527	4.56994343411962e-66
Niben101Scf03143g11004	5.20089760706006	1.11791280267735e-134
Niben101Scf01587g00005	14.5359901278796	1.39627086395343e-28
Niben101Scf02282g01016	6.34979779909046	1.75046493034485e-134
Niben101Scf02838g07016	8.13537438126082	3.11538034058263e-132
Niben101Scf03300g00003	14.5071343515199	4.80550365202884e-31
Niben101Scf03191g05007	14.4920596101112	4.24354167908616e-30
Niben101Scf08799g00001	8.98993289941335	8.66102948133084e-132
Niben101Scf00270g15011	14.4841825907731	1.24455978067098e-21
Niben101Scf03444g04026	6.91020849360513	2.29812970245014e-127
Niben101Scf01534g02014	14.398249169167	2.02105826424521e-70
Niben101Scf10688g01013	8.78977870557261	2.17498075799116e-126
Niben101Scf02108g04004	4.07239182306291	6.1263521403901e-125
Niben101Scf07253g02010	14.3878837036268	4.58916746885812e-12
Niben101Scf01241g02004	8.90075506303252	1.17339350573561e-123
Niben101Scf10086g00004	14.3029705026365	1.41688401287768e-24
Niben101Scf03362g05002	7.12210777973658	1.43737981206359e-122
Niben101Scf07001g00004	14.2366457690595	1.39422630851295e-27
Niben101Scf00149g10001	14.1435847734751	6.05089747191948e-30
Niben101Scf10688g02001	9.55835415330776	2.7242855591498e-121
Niben101Scf01037g10003	10.2131277120155	4.22326068410578e-120
Niben101Scf27527g00004	14.0899430180274	2.3784697029369e-40
Niben101Scf05824g02004	14.0544714353365	1.05439162375856e-28
Niben101Scf06078g01001	-8.12201733811769	7.95642067206083e-119
Niben101Scf03747g00005	13.9418690622984	8.8095515689216e-23
Niben101Scf07751g00003	8.89935280384613	1.02121075777558e-118
Niben101Scf06277g00007	13.9261926743688	1.8566125872323e-40
Niben101Scf16592g00012	7.24654358112825	1.15274676915868e-118
Niben101Scf04944g05002	13.9057624964143	7.25392471881953e-22
Niben101Scf06504g01012	5.89675125574946	3.70088644563055e-118
Niben101Scf05029g02015	13.9047480217556	1.61557373734413e-20
Niben101Scf10055g07005	6.95651925943049	2.49967283545068e-116
Niben101Scf04406g07002	6.09238964922455	6.98211560863534e-114
Niben101Scf04621g00006	13.8345348109529	2.52853046657756e-26
Niben101Scf03493g00022	13.6778934260404	2.55198800246664e-25
