log2FoldChange	padj
Niben101Scf06779g03028	28.4516745658156	0.000616406163892173
Niben101Scf09895g00006	4.09031275657338	4.07133556460903e-105
Niben101Ctg12033g00001	26.6250807494436	0.00153973734294032
Niben101Scf02108g04004	2.76851872864497	1.20621171701531e-56
Niben101Ctg16210g00007	-23.9950131351788	2.22758958588529e-30
Niben101Scf07241g00013	3.81783482408505	5.23273413830863e-47
Niben101Scf00176g06015	-3.04282984004537	2.46724874133959e-46
Niben101Scf02807g11019	-22.9288453420154	1.61013175431853e-14
Niben101Scf02132g00016	3.23432065819077	2.77507000470819e-46
Niben101Scf05565g02013	2.54059131266618	1.77673342063836e-44
Niben101Scf12431g00009	9.69687150684562	2.56377887203716e-07
Niben101Scf06447g00014	2.99177080873702	3.0850494949648e-41
Niben101Scf09387g00007	-9.67150879311787	2.6712781415317e-10
Niben101Scf02021g01002	3.32422414025759	4.37307279217185e-40
Niben101Scf07428g00010	3.36890366550121	3.18643754248489e-39
Niben101Scf03300g00003	4.56054691860352	6.68758740907483e-39
Niben101Scf05382g00001	2.71704410781706	6.84554348884175e-38
Niben101Scf04703g11014	3.41751964227402	1.53566489249766e-36
Niben101Scf26203g00003	9.20858095578972	0.00676731707747232
Niben101Scf02357g08010	-2.55690212068276	8.69982440027582e-36
Niben101Scf02740g00002	9.20500887857076	0.0282933152169913
Niben101Scf08178g00008	-5.48756610746603	6.14864985382446e-34
Niben101Scf00439g10057	2.65470202231376	8.5401128227563e-33
Niben101Scf06301g03004	8.99449056155676	7.16795211548816e-07
Niben101Scf06424g02024	3.6730082500783	2.14888890607412e-32
Niben101Scf04765g00011	-2.72760309810348	2.62272813962475e-32
Niben101Scf03653g01026	2.15301288481103	4.74450550169537e-32
Niben101Scf07567g00001	8.66614844862547	0.000239084105758054
Niben101Scf03185g01009	3.40987056004527	8.70023434803198e-32
Niben101Scf03277g01003	-8.65200491980255	3.7390660205883e-10
Niben101Scf08422g00003	-4.79332509027958	8.9674272131578e-32
Niben101Scf14325g00002	3.26022789618766	2.66951579912277e-31
Niben101Scf03985g04027	-3.15562611347341	1.65950829890498e-30
Niben101Scf08266g00003	-2.31154010618492	2.20704061429301e-30
Niben101Scf04838g02010	-8.34072553929827	7.14942341043288e-07
Niben101Scf09590g03007	-2.06694253125129	2.55978442943999e-30
Niben101Scf00509g04007	2.40621969308161	5.15869541848526e-30
Niben101Scf04113g07011	-8.32515431902263	7.54140028205357e-09
Niben101Scf02658g05007	-3.70253442673339	1.23157431779262e-29
Niben101Scf08755g02024	-8.29053523800011	5.7763715815774e-09
Niben101Scf00927g08001	-3.92456286710594	1.4763204036014e-29
Niben101Scf01026g02001	8.25621229070927	1.86785692586532e-07
Niben101Scf00059g01005	8.18266909905042	0.00067402769379556
Niben101Scf02576g00011	-4.1172568607341	1.62569762615701e-29
Niben101Scf05553g01006	-3.38267201803045	2.26845062579205e-29
Niben101Scf31270g00002	-8.09846657671983	1.39872450323865e-07
Niben101Scf00614g00028	-3.56205611134589	3.99450036101953e-29
