log2FoldChange	padj
Niben101Scf08127g08009	5.32537834853702	6.34586091037779e-138
Niben101Scf02690g01004	-17.9657991847912	0.000150994580839134
Niben101Scf13118g00003	4.77300334109709	2.72500810511793e-137
Niben101Scf00149g10020	7.96831091566966	1.44898438740791e-108
Niben101Scf04871g22010	-17.1566632296679	0.0384845392207898
Niben101Scf09387g02004	7.64190513290787	1.33815487483585e-107
Niben101Scf01789g03003	5.36741721180164	5.7457258962725e-107
Niben101Scf02996g06007	-12.483340654833	0.000146491924568792
Niben101Scf04779g01029	8.12086189541286	1.14810633174018e-99
Niben101Scf08797g00012	-12.2209267072111	6.28639040297093e-09
Niben101Scf02659g02016	-11.5008041606116	7.56185254333719e-18
Niben101Scf03292g03005	8.73709105542577	5.66842064968302e-96
Niben101Scf02334g01003	11.1552502366351	6.05193978433629e-18
Niben101Scf08940g01001	6.09123150539585	9.34090562635452e-94
Niben101Scf03265g00012	3.62747841734554	1.21234340982746e-91
Niben101Scf20576g01017	11.0032068623706	2.15134857552901e-11
Niben101Scf01824g00013	10.8120884884242	1.39012309636428e-16
Niben101Scf09928g01001	5.12040484925262	2.50942114867211e-89
Niben101Scf00225g00008	5.53677520999661	4.83093597172103e-87
Niben101Scf05824g04004	10.7571089914059	1.4941855558081e-13
Niben101Scf05166g02006	10.5134800049384	3.86237873985902e-16
Niben101Scf09846g01010	5.12374954867599	1.58580463603611e-85
Niben101Scf00557g03004	4.448574446495	1.79079062506026e-85
Niben101Scf06277g00007	10.4278304016236	2.61731193337515e-27
Niben101Scf01587g00005	10.3183194613301	2.03300588160171e-14
Niben101Scf03600g04029	4.8073176924901	1.89528759749755e-83
Niben101Scf00821g15009	5.20767382117371	5.74196296807021e-83
Niben101Scf05804g02004	-10.2271131639612	1.59311074783821e-13
Niben101Scf01259g09006	-10.2066940729685	1.21374917177532e-13
Niben101Scf17561g00009	4.5891059344082	2.18006047325593e-82
Niben101Scf02838g07016	6.34612199111982	1.4381773019018e-80
Niben101Scf10086g00004	10.1840243516806	1.53998650193013e-12
Niben101Scf03885g10002	8.01929409562148	4.59504685922701e-79
Niben101Scf20636g00002	-10.1524145277973	8.60808778184735e-06
Niben101Scf04053g02006	9.99303742661818	6.19035208903618e-13
Niben101Scf34386g00010	-5.17762297959528	1.47525014494045e-76
Niben101Scf00883g03018	-9.89022944889211	1.34277171787512e-12
Niben101Scf07751g00003	8.15211237863601	2.84106551154375e-76
Niben101Ctg06481g00003	9.82996418383501	2.7228443031818e-14
Niben101Scf08178g00009	6.11973137101751	8.45474512412211e-75
Niben101Scf00158g04018	9.82434507590869	9.19187222538726e-38
Niben101Scf00220g03001	7.24700547839702	5.34085934693217e-73
Niben101Scf05813g09004	9.81064461966551	5.34121596852637e-10
Niben101Scf08767g00003	3.60576678556666	1.71342329692435e-72
Niben101Scf03766g01021	-9.75500181276352	1.20311716239652e-07
Niben101Scf14852g00006	6.10833779642926	3.56429071779379e-70
Niben101Scf03861g01001	9.75227892886286	7.45232134087842e-18
Niben101Scf22099g00006	5.2482196534433	8.97083958276418e-69
Niben101Scf06078g01001	-5.84600973031843	1.36276477059494e-68
Niben101Scf06722g05003	9.73750731741209	8.42442842808846e-13
Niben101Scf01147g04015	8.22594307967149	3.22653662322584e-68
Niben101Scf23800g00001	9.64060986743	5.75972270407981e-14
Niben101Scf01037g10003	7.58170281664515	4.51067639699212e-68
Niben101Scf09644g00009	9.56912337909713	7.58083894788718e-14
Niben101Scf01239g02002	5.26994556079675	2.74028181845135e-67
Niben101Scf11072g00004	9.47396935722997	5.4320176410485e-13
Niben101Scf02736g02001	5.64979137809591	4.72034131699486e-67
Niben101Scf18731g00005	9.45822493011667	9.26964320316865e-12
Niben101Scf04505g07006	9.40128594973867	4.28671039969648e-12
Niben101Scf06504g01012	4.42003829789402	7.43774958839592e-67
Niben101Scf01338g00002	-9.39150407024795	1.00170216526498e-11
Niben101Scf02910g01040	-4.12430594929707	2.4297389373496e-64
Niben101Ctg14305g00004	9.35615844100168	3.27913017405959e-12
Niben101Scf03143g11004	3.41523318733867	4.09339302518388e-62
Niben101Scf00752g01003	-9.32764244998423	1.14084454198387e-10
Niben101Scf09895g00006	-3.11119242746028	3.3228036615489e-61
Niben101Scf05329g05016	-9.3237423325409	2.53474760862362e-12
Niben101Scf10055g07005	5.04347335660698	3.47312368372518e-61
Niben101Scf01445g02008	9.22014482398424	3.34906924549815e-21
Niben101Scf15077g00007	4.27058328252988	4.37531243572826e-61
Niben101Scf01836g00002	-6.46971078677942	7.25301769483869e-61
Niben101Scf02411g01002	9.21136758329281	1.97507828154987e-12
Niben101Scf00149g10001	7.23570132526835	1.10194248296475e-60
Niben101Scf07165g00009	9.19886425377856	1.03519397406739e-12
Niben101Scf06017g02002	9.18674375499621	1.23937307999661e-11
Niben101Scf11922g01019	7.99370944180826	6.23993649503657e-60
Niben101Scf05133g06002	7.42482289438175	6.51476004825552e-60
Niben101Scf04124g05022	9.10785486175574	1.04881764946622e-10
Niben101Scf11649g01009	8.32793430471625	1.34043887915033e-59
Niben101Scf00270g15011	9.10278001757959	2.13778212026067e-10
Niben101Scf10688g02001	6.3728446705393	6.17915315732877e-59
Niben101Scf04406g07002	4.37548789180188	2.03424796790326e-58
Niben101Scf16154g00002	9.10185503281529	1.27763067868699e-11
Niben101Scf00579g00003	9.10057672065895	7.20275326745607e-11
Niben101Scf04382g00015	4.42409189572337	2.36320225722403e-58
Niben101Scf04787g02002	9.10044616408353	3.38087902750739e-21
Niben101Scf08196g01007	4.18394840381022	3.18036236369909e-58
Niben101Scf04820g01003	3.45881958580618	8.82687943254433e-58
Niben101Scf08341g08001	9.07823301321439	1.50477782530615e-11
Niben101Scf04122g05014	4.54333727509351	1.3919562851038e-57
Niben101Scf07761g00005	9.06511840239822	1.74487905679755e-10
Niben101Scf10889g01017	-9.06003902393568	1.36053913861327e-09
Niben101Scf19517g00019	3.94327851211908	3.41726028545914e-57
Niben101Scf02217g03004	9.05423969030909	2.88857031445453e-09
Niben101Scf10688g01013	5.83725439734887	5.55068702379994e-56
Niben101Scf00305g05011	9.04992737980252	1.20955770678989e-10
Niben101Scf09387g00009	6.33815835646044	6.62498669355387e-56
Niben101Scf01005g01015	9.03779930818957	5.48915240457132e-11
Niben101Scf01580g05003	6.74518379973628	7.41504134937762e-56
Niben101Scf02826g01005	9.0350937127122	2.3379488690395e-11
Niben101Scf06779g01002	5.96637807915783	4.55914639686923e-55
Niben101Scf00264g03014	-9.02629669082981	4.44767188726274e-09
Niben101Scf02479g03009	6.31858760902671	9.82765045876333e-55
Niben101Scf01943g08004	5.07794921681135	1.61524734703745e-54
Niben101Scf12725g00032	-9.00557031895929	7.02019903755894e-10
Niben101Scf00077g03005	8.99920171019602	1.01388286634222e-32
Niben101Scf04143g01004	5.78170173775535	2.81284530299308e-54
Niben101Scf08799g00001	5.18191648908123	2.81284530299308e-54
Niben101Scf03747g00005	8.99175259208367	1.00069395786796e-09
Niben101Scf00354g01012	8.95473002015883	4.28853269908729e-27
Niben101Scf11706g00010	7.29402936042449	3.5802026561125e-54
Niben101Scf03362g05002	4.54232978924936	3.1688591032661e-53
Niben101Scf09296g00007	-8.92750010880657	4.46590130174455e-10
Niben101Scf03446g08015	8.92687641441603	5.1362801517707e-15
Niben101Scf07623g01036	4.4209065783596	5.18982687952154e-53
Niben101Scf00442g04002	7.83241395292767	5.82001280893426e-52
Niben101Scf03191g05007	8.92687411564977	9.88092766087992e-47
Niben101Scf03191g05004	8.92220265378052	9.03853083359171e-12
Niben101Scf03861g00009	7.11940368807963	6.17311730623461e-52
Niben101Scf00262g05006	3.77092294253392	8.9487488844875e-52
Niben101Scf12502g00008	8.91401339835597	4.18481866149896e-11
Niben101Ctg14008g00002	5.09547218290125	1.12942268706948e-51
Niben101Scf00206g00010	8.8906760416404	1.53342195321143e-11
Niben101Scf02393g02025	8.86449639484204	3.48651961006748e-18
Niben101Scf11325g00011	4.11474370722475	2.08108975562472e-51
Niben101Scf03930g00018	6.51439399488805	7.57669792750209e-51
Niben101Scf27527g00004	8.85911063096523	1.1573833118577e-21
Niben101Scf08899g00008	5.67368981260697	2.30346062724443e-50
Niben101Scf13823g03007	-8.83749003240052	4.16700470289044e-06
Niben101Scf05486g01004	-8.80816231507028	1.86205580641213e-10
Niben101Scf08533g02018	3.82292171169233	3.2619506033714e-50
Niben101Scf00212g03016	8.78184864912144	6.70291152993143e-11
Niben101Scf03446g04003	6.47366690047007	8.32796599280082e-50
Niben101Scf00083g04033	3.42533605659021	2.99330357405315e-49
