log2FoldChange	padj
Niben101Scf02690g01004	-47.9021628048969	1.59691136123338e-26
Niben101Scf13118g00003	5.05387230850413	6.00582690649201e-154
Niben101Ctg12033g00001	-27.4677696788456	0.000458470552231187
Niben101Scf08127g08009	5.46655813904208	8.9283391903634e-146
Niben101Scf01789g03003	5.61432733434405	5.23649832474035e-117
Niben101Scf04871g22010	-25.6959831644721	0.00110755621599054
Niben101Scf00149g10020	8.11588555294636	7.77846104292864e-113
Niben101Scf08940g01001	6.50366329377948	6.1556745874511e-107
Niben101Scf03292g03005	9.11383620731845	1.59021623039284e-104
Niben101Scf16582g00010	-11.8558824267051	2.77912587625846e-19
Niben101Scf01587g00005	11.6100886610977	3.55457573878648e-18
Niben101Scf09387g02004	7.39036216675482	1.00867290156167e-100
Niben101Scf00821g15009	5.66888728866166	2.41330651167526e-98
Niben101Scf10086g00004	11.559381757129	5.13275683281974e-16
Niben101Scf02659g02016	-11.4522607890581	7.73990103440525e-18
Niben101Scf02838g07016	6.99075102162774	8.32242529407616e-98
Niben101Scf03600g04029	5.18762666622148	1.86066642767417e-97
Niben101Scf15156g01003	-11.3566435210414	1.53342161901208e-12
Niben101Scf03265g00012	3.70619716341649	7.94555362832008e-96
Niben101Scf06277g00007	11.3432738506015	2.27507064093093e-32
Niben101Scf02334g01003	11.2347793658382	2.49921638488333e-18
Niben101Scf09928g01001	5.29175935057448	1.33350871598254e-95
Niben101Scf04779g01029	7.86565284674258	1.02081303300643e-93
Niben101Scf20576g01017	11.2085664861098	6.66610736469892e-12
Niben101Scf00225g00008	5.70587333849022	1.20127376449421e-92
Niben101Scf01824g00013	11.1607043135536	9.38814009142855e-18
Niben101Scf17561g00009	4.78217766429681	1.38215634876704e-89
Niben101Scf18731g00005	10.9253302323115	1.61110705702461e-15
Niben101Scf03885g10002	8.38216599743922	1.77157303790421e-86
Niben101Scf06722g05003	10.7409142872347	1.64138738705987e-15
Niben101Scf05166g02006	10.7347994706188	6.26268760023995e-17
Niben101Scf09846g01010	5.14632159765751	1.91249185606803e-86
Niben101Scf00199g01002	-10.7030416346765	1.02083688077107e-09
Niben101Scf34386g00010	-5.4134641594532	8.42015649900611e-83
Niben101Scf00557g03004	4.37572117523243	8.6034594784274e-83
Niben101Scf05824g04004	10.6096069710546	2.48491316107634e-13
Niben101Scf01037g10003	8.26514976858741	5.30903347964216e-81
Niben101Scf03861g01001	10.45872814315	1.50450367036898e-20
Niben101Ctg06481g00003	10.3005552653282	9.67868701316352e-16
Niben101Scf22099g00006	5.67969990375209	1.06588667164459e-80
Niben101Scf14852g00006	6.53375107560542	1.84628792063855e-80
Niben101Scf23800g00001	10.2302677349326	9.50765694795879e-16
