log2FoldChange	padj
Niben101Scf02996g06007	47.2884992641453	3.48751733276114e-55
Niben101Scf13118g00003	5.6610378635153	2.3862565710587e-179
Niben101Scf03302g04007	30.4014832563067	9.24692634777966e-05
Niben101Scf08127g08009	5.91902209684582	4.80652101082953e-170
Niben101Scf00063g10004	-28.6192906962247	0.000243697530251328
Niben101Scf17561g00009	6.76785265781433	3.62729674943501e-142
Niben101Ctg12033g00001	25.5688797086462	0.00120375764820012
Niben101Scf03265g00012	4.21935986109151	8.97804119852719e-123
Niben101Ctg06829g00002	21.667515524862	3.63719483104678e-07
Niben101Scf08940g01001	6.99887499645625	5.63401783574876e-121
Niben101Scf01789g03003	5.62323453594103	1.05064639997846e-117
Niben101Scf04778g02018	21.1884345171822	1.13260904516665e-07
Niben101Ctg14049g00002	20.9459023548033	2.4746217342801e-06
Niben101Scf00225g00008	6.31651343776336	6.04114902963953e-113
Niben101Scf00149g10020	8.87294910619193	8.04881616395401e-110
Niben101Scf03292g03005	10.8835172082425	2.51631538585858e-108
Niben101Scf04787g02002	13.687830434441	1.70786202373454e-20
Niben101Scf09387g02004	9.05129666824828	3.04014294288817e-108
Niben101Scf03861g01001	13.3006844967379	2.74386956771648e-18
Niben101Scf09928g01001	5.61115649144697	1.07395649612816e-106
Niben101Scf00821g15009	5.7019403392014	1.25324624359705e-99
Niben101Scf03493g00022	13.2075640062942	2.03735289257765e-16
Niben101Scf05824g02004	12.9817020744402	4.01474756386703e-24
Niben101Scf09846g01010	5.51251895901189	2.74582712296334e-98
Niben101Scf00354g01012	12.618214763788	9.63169417776923e-21
Niben101Scf07751g00003	6.946183688553	1.73034596266774e-96
Niben101Scf02838g07016	6.85458199047158	7.41904684382886e-94
Niben101Scf03438g02001	12.5291098111356	3.8833872099359e-18
Niben101Scf02763g03011	12.227040292344	2.57659054854399e-20
Niben101Scf04779g01029	7.82626337459329	1.45051491885273e-93
Niben101Scf02393g02025	12.2099374693348	1.07300950133941e-16
Niben101Scf02736g02001	6.82358104286655	1.2643409841662e-91
Niben101Scf08575g03004	12.1709291597127	5.21254632708115e-21
Niben101Scf34386g00010	-5.63747662541687	5.45851449082598e-90
Niben101Scf03600g04029	5.03512378580143	9.32729823471382e-90
Niben101Scf07165g00009	12.0243276777604	3.01954064993538e-21
Niben101Scf10055g07005	5.98539024446631	3.81013962764307e-86
Niben101Scf24496g01001	11.8658553494698	8.20958502284634e-21
Niben101Scf01696g06043	11.7318946876924	9.79543972754616e-15
Niben101Scf03885g10002	9.03633547847649	8.09151000334224e-82
Niben101Ctg14873g00001	-11.5413244824686	1.3977165675578e-18
Niben101Scf01239g02002	5.81210791225429	1.00541442854772e-81
Niben101Scf02334g01003	11.4965142509193	3.66033117854216e-19
Niben101Scf08767g00003	3.84715623164074	1.37043354897364e-81
Niben101Scf00220g03001	7.65067873516353	1.40218506838955e-80
Niben101Scf11649g01009	11.3445729382251	1.94597207003843e-34
Niben101Scf02479g03009	7.75562484454452	3.91793131055096e-80
Niben101Scf03446g08015	11.2931917574323	1.48212673667404e-18
Niben101Scf01587g00005	11.2815166288147	3.20645112401603e-17
Niben101Scf14852g00006	6.43662804835379	3.84273023898875e-78
Niben101Scf05133g06002	9.41294515556363	1.21095297070466e-77
Niben101Scf16582g00010	-11.2362482290595	1.97990569491492e-17
Niben101Scf20576g01017	11.1541338634108	8.36379158516853e-12
Niben101Scf22099g00006	5.50979470415148	5.56561793089088e-76
Niben101Scf04702g06003	11.068381741174	3.58801167358582e-17
Niben101Scf15077g00007	4.77875398957244	7.41935780773526e-76
Niben101Scf02910g01040	-4.51687450052655	1.12672093757144e-75
Niben101Scf13823g03007	-11.0524382242617	8.715770323047e-09
Niben101Scf10086g00004	10.9907481196529	1.40028820122187e-14
Niben101Scf10688g01013	6.76948287376672	3.26252163829752e-75
Niben101Ctg06481g00003	10.9177694994008	1.4324631736214e-17
Niben101Scf01037g10003	7.88411643765125	6.53550638990827e-75
Niben101Scf01147g04015	8.68301935777338	1.89217126043591e-74
Niben101Ctg09684g00002	10.8682408662341	7.08422224712106e-16
Niben101Scf08178g00009	6.08048159761875	2.12240963447016e-74
Niben101Scf05166g02006	10.6988009220031	7.78585532565746e-17
Niben101Scf06504g01012	4.5916936965534	6.48380272747819e-73
Niben101Scf03226g03006	10.6927473150493	2.74779635253327e-15
Niben101Scf06078g01001	-5.98407697537244	5.89570071425436e-72
Niben101Scf04143g01004	6.80507720154038	2.86472615143817e-71
Niben101Scf05813g09004	10.6323210853392	1.07298834773264e-11
Niben101Scf00870g13015	10.6278564194731	1.38740892403841e-15
Niben101Scf03143g11004	3.64458906723246	3.03663537065582e-70
Niben101Ctg14008g00002	5.91794557625009	3.25486965648044e-69
Niben101Scf27527g00004	10.5918190139972	1.52487934320053e-26
Niben101Scf01534g02014	10.5389366238975	6.22648443872753e-49
Niben101Scf08196g01007	4.57344722981193	3.45025456361299e-69
Niben101Scf02659g02016	-10.5070881788121	3.64582869636795e-15
Niben101Scf10688g02001	6.92325690338969	9.73713556580458e-69
Niben101Scf04406g07002	4.71537805970981	3.35224360882389e-68
Niben101Scf06822g02009	10.4887847934909	3.28945116483562e-15
