log2FoldChange	padj
Niben101Scf02996g06007	47.1631635660944	5.20619407456122e-55
Niben101Scf13118g00003	6.05496009175521	1.37367970650973e-205
Niben101Scf03302g04007	32.5452459862775	2.13819524287034e-05
Niben101Scf08127g08009	6.0542030016822	5.34460935069355e-178
Niben101Scf00063g10004	-28.4590505285794	0.000226827969814305
Niben101Scf17561g00009	6.86923835059261	1.70332451789871e-146
Niben101Scf03265g00012	4.47266815023782	3.31162550149655e-138
Niben101Scf04871g22010	-27.4805210511482	0.000382547198232587
Niben101Scf06779g03028	26.557628471495	0.000615398562725778
Niben101Scf08940g01001	7.25201064950751	5.02436171926167e-130
Niben101Ctg06829g00002	24.1561836229147	9.24823281432695e-09
Niben101Scf01789g03003	5.75927014680758	1.49814834342773e-123
Niben101Scf00821g15009	6.23197619475034	4.25550023207248e-119
Niben101Scf04778g02018	22.3776841498214	1.52831292716805e-08
Niben101Ctg14049g00002	21.7924160622855	7.39684113982263e-07
Niben101Scf00149g10020	9.20446849777466	2.28132830707877e-118
Niben101Scf00225g00008	6.46251186366834	2.28132830707877e-118
Niben101Scf09928g01001	5.89095933132334	1.0066317894196e-117
Niben101Scf03292g03005	11.0919073205259	1.15204217748292e-112
Niben101Scf03861g01001	14.8631252976737	9.19246448394855e-23
Niben101Scf02838g07016	7.49962595522054	1.50823920493245e-112
Niben101Scf04787g02002	14.6637614311379	1.51743847178598e-23
Niben101Scf03493g00022	14.540243806433	7.59193184186948e-20
Niben101Scf09387g02004	8.99122765829298	6.8776085172386e-107
Niben101Scf02736g02001	7.23074564830863	5.50401204601731e-103
Niben101Scf05824g02004	13.716936353544	5.30565888694961e-27
Niben101Scf00354g01012	13.4975888935714	9.15774437748523e-24
Niben101Scf09846g01010	5.54001225411393	2.44460962580847e-99
Niben101Scf02763g03011	13.0969371091875	2.44796507914605e-23
Niben101Scf07751g00003	6.99165153938377	8.33467433296637e-98
Niben101Scf03600g04029	5.2146127706174	2.7113665405617e-96
Niben101Scf08575g03004	12.915528924975	1.0297448263317e-23
Niben101Scf01587g00005	12.7010534221747	9.65419672638213e-22
Niben101Scf04779g01029	7.91823487499954	7.33626365273392e-96
Niben101Scf02479g03009	8.37855491941293	1.27219281947898e-93
Niben101Scf03438g02001	12.5832902893246	1.96402464854739e-18
Niben101Scf02393g02025	12.3412176811123	3.52104176874081e-17
Niben101Scf10055g07005	6.1691036472359	1.33866457113396e-91
Niben101Scf14852g00006	6.93396310411784	8.31419113163824e-91
Niben101Scf24496g01001	12.2318799871988	3.24184167974639e-22
Niben101Scf02334g01003	12.1523089541236	1.83215541914607e-21
Niben101Scf10688g01013	7.37586143852458	2.29197039736433e-89
Niben101Scf03446g08015	11.9988052829397	5.50932636703526e-21
Niben101Scf01037g10003	8.60581802353371	2.31764107781804e-89
Niben101Scf01239g02002	6.07217393667329	2.31764107781804e-89
Niben101Scf10086g00004	11.9795529112824	2.73278103813993e-17
Niben101Scf00220g03001	8.03607249078506	4.62538315208876e-89
Niben101Scf07165g00009	11.909005820026	5.11149752800768e-21
Niben101Scf03885g10002	9.40947723340962	6.29283061811066e-89
Niben101Scf11649g01009	11.8994340630414	5.35768387071593e-38
Niben101Scf06078g01001	-6.73034038347337	3.05256821770557e-88
Niben101Scf13823g03007	-11.8601599492133	1.25475311262996e-09
Niben101Scf03961g00003	-11.7584013021417	8.8014325568965e-10
Niben101Scf22099g00006	5.9135515094597	1.02746948087348e-87
Niben101Scf01696g06043	11.753223892349	6.31349782680014e-15
Niben101Scf08767g00003	3.97447942921942	3.33473141389942e-87
Niben101Scf01534g02014	11.6839458298891	3.21149945845379e-60
Niben101Scf06504g01012	4.99411895245642	2.05615717024099e-86
Niben101Ctg06481g00003	11.6368583387626	5.46729449430857e-20
Niben101Scf34386g00010	-5.51015845714582	9.45658383445709e-86
Niben101Ctg09684g00002	11.5714625913691	5.10437662851651e-18
Niben101Scf01147g04015	9.10065857564157	6.7830431953856e-82
Niben101Scf03143g11004	3.92912274803542	8.72848340653346e-82
Niben101Scf03226g03006	11.5696858743676	7.11260092888106e-18
Niben101Scf05133g06002	9.64621775699441	1.05621050298705e-81
Niben101Scf27527g00004	11.5141922999153	2.12843149506223e-31
Niben101Scf04406g07002	5.15134062658203	1.57070757879391e-81
Niben101Scf18731g00005	11.5131110185422	2.75511200781936e-17
Niben101Scf03861g00008	11.3386843984131	1.83051839722366e-48
Niben101Scf08799g00001	6.33813777539804	2.78333776860051e-81
Niben101Scf02910g01040	-4.78420722815904	5.36754347081586e-81
Niben101Scf20576g01017	11.3170879081706	3.03382932305943e-12
Niben101Scf00870g13015	11.3049240073906	1.18556805907581e-17
Niben101Scf01580g05003	8.15531211218442	9.80250902121968e-81
Niben101Scf03861g00009	8.99532305124271	2.76984800179579e-80
Niben101Scf04702g06003	11.2291199299918	8.63483287193108e-18
Niben101Scf10188g01004	11.2100712887218	2.00976320184956e-18
Niben101Scf15077g00007	4.89205992420552	1.10479248968916e-79
Niben101Scf01027g01002	11.1995177851258	4.49272702065271e-13
Niben101Scf19517g00019	4.63340600756649	3.16712712617457e-79
Niben101Scf01445g02008	11.1205976707677	2.26920798687037e-22
Niben101Scf08196g01007	4.88054166499173	5.64031078406439e-79
Niben101Scf01241g02004	7.05459163589786	1.53163344385528e-78
Niben101Scf06822g02009	11.1046230487063	4.43334731993125e-17
Niben101Scf03362g05002	5.50677117950012	3.15750761913714e-77
Niben101Scf05166g02006	11.070377650745	4.2260612849177e-18
Niben101Scf10688g02001	7.32017095242614	5.11192997747252e-77
Niben101Scf03747g00005	11.0166261631134	2.12676392505238e-14
Niben101Scf11706g00004	5.57742529935303	4.16586562897256e-76
Niben101Ctg14008g00002	6.06644235681412	7.22539969423759e-73
Niben101Scf00187g02037	11.0058072213778	1.07591941614038e-15
Niben101Scf01237g05004	10.9913376260845	3.92479053014038e-15
Niben101Scf04382g00015	4.93546569747184	1.18335500076416e-72
Niben101Scf01052g01005	10.924323238595	2.41281097303119e-10
Niben101Scf08533g02018	4.58847613807684	1.49404283269466e-72
Niben101Scf05319g04005	-10.9093042056625	1.22201668316891e-16
Niben101Scf08613g02006	-5.80481473712441	4.79815955741715e-72
Niben101Scf03400g02010	10.9019968273451	1.07452623165025e-16
Niben101Scf08178g00009	5.94744554870403	2.68492576790628e-71
Niben101Scf00165g04007	10.869716774103	4.16843825098406e-15
Niben101Scf07757g00006	5.74063737564083	6.06298244434536e-71
Niben101Scf00339g00001	10.8353475711056	4.53264497086752e-16
Niben101Scf09203g00003	4.13280466922463	7.01185240108528e-71
Niben101Scf00851g02011	10.7831084746928	3.70829890644502e-15
Niben101Scf03446g04003	7.73568069165781	3.94980278153567e-69
Niben101Scf05824g04004	10.7412946957796	8.7987031944577e-14
Niben101Scf08899g00008	6.71973632067405	7.22449457555842e-69
Niben101Scf04030g01005	10.7261713722329	6.63659011083051e-12
Niben101Scf04820g01003	3.77437495199157	9.80128954199788e-69
Niben101Scf02658g01008	6.3895284852372	1.04122536537611e-68
Niben101Scf04621g00006	10.723649695336	2.15641337376893e-27
Niben101Scf00270g15011	10.7127690938556	2.5018225926346e-14
Niben101Scf02465g00004	6.64682158022132	3.79196109553133e-68
Niben101Scf01836g00002	-6.85635607148048	4.25682532073168e-68
Niben101Scf14805g02006	-10.6951771847028	4.59872468136145e-10
Niben101Scf03164g03009	10.6775280478001	1.31576931148902e-16
Niben101Scf11922g01019	8.52902538024128	7.10347911252757e-68
Niben101Scf02636g07002	10.6358710884748	1.25021883469011e-13
Niben101Scf03026g01009	8.10621113100474	1.91210594042793e-67
Niben101Scf04143g01004	6.59835614782786	3.82036477560975e-67
Niben101Scf23800g00001	10.621598275941	4.63718905014772e-17
Niben101Scf00262g05006	4.26008826560434	4.5447142406839e-67
Niben101Scf09458g00011	10.5957573497526	4.65910412042864e-17
Niben101Scf00264g02010	6.33993555795982	5.96926219148116e-67
Niben101Scf05928g03007	10.5638738937548	7.8406355039962e-19
Niben101Scf01718g01010	-6.7796989287793	3.10640151686092e-66
Niben101Scf30418g00015	-10.5426904898882	1.90438745955015e-14
Niben101Scf00557g03004	3.87457806706195	4.47149388323635e-66
Niben101Scf20506g00006	-10.5424013570008	1.09473696768037e-13
Niben101Scf02214g04002	-10.4849421600905	3.70773751146558e-10
Niben101Scf01943g08004	5.54804975045946	9.18499464522e-66
Niben101Scf10488g01001	8.03962656629294	9.18499464522e-66
Niben101Scf01413g02004	10.4822673227558	5.67206132223871e-15
Niben101Scf04003g08001	6.01385299150109	1.0920413272979e-65
Niben101Scf13429g04019	10.4704434377099	5.20488518165251e-10
Niben101Scf06277g00007	10.4668993456792	8.41533347054053e-37
Niben101Scf08020g06001	6.51209042192439	1.8392858387562e-65
Niben101Scf04122g05014	4.83639458674837	2.10786217337174e-65
Niben101Scf05813g09004	10.4660607349051	1.75827772001908e-11
Niben101Scf03930g00018	7.36672899119282	2.78429904138801e-65
