log2FoldChange	padj
Niben101Ctg12033g00001	-29.4958202240245	0.000148076796577803
Niben101Scf08127g08009	6.0371281051385	2.71167139413826e-176
Niben101Scf06779g03028	27.148049244751	0.000521215994881877
Niben101Scf13118g00003	5.34959907409589	2.15626324772049e-166
Niben101Scf00225g00008	7.09679729408951	1.86510932103423e-141
Niben101Ctg14049g00002	18.1599671727217	5.25930088533403e-05
Niben101Scf01789g03003	6.18062214176755	9.90559099362358e-138
Niben101Scf04787g02002	14.4395254890222	9.39933608467771e-23
Niben101Scf17561g00009	6.0648852604847	2.71510648263026e-132
Niben101Scf00077g03005	14.3396906598923	5.66711476920932e-25
Niben101Scf08940g01001	7.32592835419154	1.46291591518699e-129
Niben101Scf00700g00005	13.9263537275844	6.95829184934648e-22
Niben101Scf09928g01001	5.9267266646166	8.05028242670154e-118
Niben101Scf03861g01001	13.3152597438585	2.27610071995574e-18
Niben101Scf09387g02004	7.99690063468576	1.87542145417336e-117
Niben101Scf03265g00012	4.05717393878367	5.82963082325039e-114
Niben101Scf04401g06001	13.2776212722728	1.23336753473929e-25
Niben101Scf00149g10020	8.40174430030994	3.5254196321755e-112
Niben101Scf00712g02011	13.1750097638181	2.99465901774734e-22
Niben101Scf00354g01012	13.1351286096734	1.89390142983934e-22
Niben101Scf02736g02001	7.27746316591335	1.25185266459075e-102
Niben101Scf02838g07016	7.15925140491267	2.02823883076811e-101
Niben101Scf06245g01017	12.7055041907743	2.04912734549564e-26
Niben101Scf03600g04029	6.01993600149831	6.39298215241205e-101
Niben101Scf08575g03004	12.5623189966079	1.36764648846204e-22
Niben101Scf02393g02025	12.5052991468141	1.67188863673709e-17
Niben101Scf04779g01029	8.10788833979847	1.21253991371521e-99
Niben101Scf04122g05014	6.04590304281791	1.52759777221152e-99
Niben101Scf04621g00006	12.4812330145484	3.43947243052976e-21
Niben101Scf02763g03011	12.4698453496204	3.81940782857797e-21
Niben101Scf10055g07005	6.41753978991195	5.56021616380378e-99
Niben101Scf00557g03004	4.74049832634203	1.39927900759574e-97
Niben101Scf03438g02001	12.4337717263532	6.40035754909061e-18
Niben101Scf01239g02002	6.3353221529931	3.88219316661996e-97
Niben101Scf04362g07011	12.3043917915989	5.30713098512087e-24
Niben101Scf00141g01002	12.1380044153784	7.13305263095185e-17
Niben101Scf10688g01013	7.67493679463572	4.43612864258899e-96
Niben101Scf01445g02008	12.1023786954114	1.27376084098928e-20
Niben101Scf03292g03005	11.512963519366	2.30938792195746e-95
Niben101Scf01037g10003	9.70613455028014	3.8625098437788e-95
Niben101Scf01696g06043	12.0266891870158	1.80029840902864e-15
Niben101Scf00821g15009	5.51011704498503	3.14225202667407e-93
Niben101Scf24496g01001	12.0251455560134	2.12496141124445e-21
Niben101Scf03191g05007	11.994540968768	1.31225361949077e-26
Niben101Scf07751g00003	7.59309375158108	1.70717126627078e-92
Niben101Scf10086g00004	11.9538230402603	4.10289438361461e-17
Niben101Scf14852g00006	7.15037426440856	3.46112382999871e-92
Niben101Scf02479g03009	8.38166812512017	1.35858246043685e-90
Niben101Scf05824g02004	11.9519503564283	8.03923557735815e-21
Niben101Scf01580g05003	8.99492908073631	2.50658029226292e-90
Niben101Scf03096g01022	11.8992572787241	2.87119466834274e-20
Niben101Ctg09684g00002	11.8929438681138	7.12646507218668e-19
Niben101Scf09846g01010	5.21600614933073	1.57319541110561e-89
Niben101Scf00270g15011	11.8662167995182	1.55968019582119e-14
Niben101Scf04143g01004	8.4317038983048	6.64629888356349e-89
Niben101Scf06277g00007	11.8318249710757	1.95663093240128e-33
Niben101Scf08799g00001	6.91232093967331	2.90385940502947e-88
Niben101Scf08797g00012	-11.7482291974989	1.97929111108636e-08
Niben101Scf22099g00006	5.88457009220204	9.56136351906203e-87
Niben101Scf02639g03007	11.6680062569939	1.94852276016088e-20
Niben101Scf08767g00003	3.87525147154845	2.79123507294144e-84
Niben101Ctg14008g00002	6.5063289707086	6.14743381291039e-83
Niben101Scf10169g00005	11.6624189074644	7.28400343669312e-16
