log2FoldChange	padj
Niben101Scf03302g04007	-32.3404490236583	2.28877428137088e-05
Niben101Scf13118g00003	5.91678320202928	6.96364910787893e-204
Niben101Scf00063g10004	-31.2397465219992	4.381918688355e-05
Niben101Scf08127g08009	6.40793819399159	2.95377545894257e-199
Niben101Ctg16210g00007	-30.181056865796	7.98105898094061e-50
Niben101Scf00225g00008	7.20554417719492	6.74134520958981e-146
Niben101Ctg12033g00001	-29.4355450766674	0.000125649780626834
Niben101Scf08940g01001	7.68922904456385	9.27627710309133e-143
Niben101Scf01789g03003	6.27388386524017	4.38803267983385e-142
Niben101Scf04871g22010	25.7398793069161	0.000890739408090408
Niben101Ctg14192g00001	-22.3845601743512	6.83085508248032e-08
Niben101Scf09928g01001	6.3325150201638	1.032861689344e-134
Niben101Ctg14049g00002	20.3860232455341	3.66738820098224e-06
Niben101Scf02838g07016	8.10706171970954	2.84254089655652e-130
Niben101Scf03265g00012	4.30006012609833	3.36318281839994e-128
Niben101Scf04787g02002	15.4405241080438	4.18042145591743e-26
Niben101Scf17561g00009	5.93867990869312	5.46335308796507e-127
Niben101Scf00149g10020	8.9239961120044	8.30965502271003e-127
Niben101Scf03861g01001	14.7851849320272	1.23353774761504e-22
Niben101Scf00077g03005	14.6866173608213	2.31653724785475e-26
Niben101Scf03600g04029	6.42667073196822	2.62537099078543e-115
Niben101Scf00700g00005	14.2923201723246	3.26460665583567e-23
Niben101Scf02736g02001	7.6844279514487	1.12862963611736e-114
Niben101Scf00354g01012	14.0477510778304	9.12717251169377e-26
Niben101Scf10688g01013	8.25916407384058	2.5212585738574e-111
Niben101Scf00821g15009	6.01532852756513	3.36538006437568e-111
Niben101Scf04401g06001	13.6976658064632	1.95152351742796e-27
Niben101Scf09387g02004	7.7483786741861	2.01935615000531e-110
Niben101Scf13823g03007	-13.3684746488314	3.77597558363657e-10
Niben101Scf00883g12009	-13.3622628278759	3.12971515003473e-13
Niben101Scf10055g07005	6.74262091469424	2.01426914276438e-109
Niben101Scf00712g02011	13.323795368725	6.11216538421347e-23
Niben101Scf01037g10003	10.3206158650281	1.15247568616427e-107
Niben101Scf01580g05003	9.80526476211177	1.99951622278445e-107
Niben101Scf03438g02001	13.3006427684672	1.45397908034537e-20
Niben101Scf08575g03004	13.0934934366637	1.11821702140478e-24
Niben101Scf08799g00001	7.51036371978882	2.83371280452714e-104
Niben101Scf02479g03009	8.90750117897394	2.13156428970074e-102
Niben101Scf06245g01017	13.0826963101141	3.58560998933872e-28
Niben101Scf00270g15011	12.9456561080597	2.65894951462832e-17
Niben101Scf00557g03004	4.84771514684017	3.27103826306423e-102
Niben101Scf01239g02002	6.4918980944618	3.6470951663825e-102
Niben101Scf04621g00006	12.8860886468311	9.86998775395533e-23
Niben101Scf10086g00004	12.7755635388928	1.32782032138561e-19
Niben101Scf14852g00006	7.51205744699977	6.94546419324099e-102
Niben101Scf02763g03011	12.7741248290371	2.41389756165677e-22
Niben101Scf22099g00006	6.372068017976	7.7961187043106e-102
Niben101Scf01587g00005	12.6940777841744	8.19403356378749e-22
Niben101Scf10688g02001	8.51989850054468	1.8836063352305e-100
Niben101Scf04122g05014	6.02619051879367	3.96307935368881e-99
Niben101Scf06277g00007	12.6738418242289	1.71892985767409e-38
Niben101Scf02393g02025	12.5893741165888	6.50484202550667e-18
Niben101Scf03292g03005	11.6819277231344	2.31233247335467e-98
Niben101Scf01445g02008	12.5727261678739	2.20526037730194e-22
Niben101Scf07751g00003	7.82054820571927	2.61649020040797e-98
Niben101Scf07001g00004	12.4962573757293	2.92235743649088e-21
Niben101Scf19517g00019	5.1447221923363	1.38266248860673e-97
Niben101Scf04779g01029	7.93462929716798	1.05592409414098e-95
Niben101Scf24496g01001	12.4826234569929	3.38455215731672e-23
Niben101Scf01696g06043	12.3580674968689	1.8119337321623e-16
Niben101Scf00220g03001	8.20575362525707	1.06738512235392e-92
Niben101Scf02910g01040	-5.24477063111703	1.06738512235392e-92
Niben101Scf05824g02004	12.3478152021422	2.31929414914446e-22
Niben101Scf03096g01022	12.3390458439721	6.26985003582134e-22
Niben101Scf09846g01010	5.28623451586204	4.37559404951043e-92
Niben101Ctg09684g00002	12.3317136151207	2.05346706515995e-20
Niben101Scf03362g05002	6.13718975454971	1.82795829246503e-91
Niben101Scf04362g07011	12.3043742111522	3.29251107481773e-24
Niben101Scf08767g00003	4.02935359933041	2.59657819001242e-91
Niben101Scf04626g00009	12.262979008334	1.15257209512477e-26
Niben101Scf34386g00010	-5.75280050105503	1.33004028003355e-90
Niben101Scf06504g01012	5.15418881226412	7.24899446123418e-90
Niben101Scf13429g04019	12.2462716425685	2.34431243537005e-13
Niben101Scf01534g02014	12.1917241788361	3.6549026915158e-58
Niben101Scf03861g00009	10.0397283629606	1.66799347141382e-89
Niben101Ctg14008g00002	6.73651087565219	4.30925371777216e-89
Niben101Scf10169g00005	12.169420259953	2.2439809165746e-17
Niben101Scf00141g01002	12.1544556794604	4.181744905358e-17
Niben101Scf04143g01004	8.41910928903295	8.55363408401138e-89
Niben101Scf01241g02004	7.41334934392737	1.64485887768554e-86
Niben101Scf04424g00001	-12.0962960335533	7.36801125911892e-09
Niben101Scf04422g14001	12.0865451584936	2.12973512214202e-20
Niben101Scf08613g02006	-6.30464271382573	4.78714237469833e-86
Niben101Scf04406g07002	5.28998143501809	5.79013529261121e-86
Niben101Scf18731g00005	12.0221294826074	7.75450987535232e-19
Niben101Scf02639g03007	11.9782302882058	1.08636927034156e-21
Niben101Scf03143g11004	4.08537265664338	1.61591607840792e-85
Niben101Scf05133g06002	9.89265450620406	2.27741923935991e-85
Niben101Scf20576g01017	11.9747823396539	1.20550445743167e-13
Niben101Scf03885g10002	10.1327211074029	3.89051420934547e-85
Niben101Scf08426g02001	11.9496019258791	7.5562083312225e-17
Niben101Scf01249g06013	11.8030036463247	2.8204466607372e-59
Niben101Scf03026g01009	9.26291461691416	5.44676435381058e-85
Niben101Scf07165g00009	11.7896485372659	1.0451206628101e-20
Niben101Scf15077g00007	5.09870486551783	1.71780148946348e-84
Niben101Scf03930g00018	8.34096397861819	2.04822034037889e-83
Niben101Scf06538g02009	11.7601807340728	7.7030792064134e-21
Niben101Scf03191g05007	11.7538246214801	8.35505748153127e-26
Niben101Scf07623g01036	5.50406417502378	1.46187687725078e-82
Niben101Scf01824g00013	11.7469608529712	8.14908642954909e-20
Niben101Scf04003g08001	6.75925031761268	4.37537206297761e-82
Niben101Scf00158g04018	11.7306110188007	4.29943926258422e-42
Niben101Scf05442g03015	6.28090412279603	1.94953384700041e-81
Niben101Scf01005g01015	11.7236299099171	2.92731283020826e-18
Niben101Scf05149g00006	5.91494199651499	2.23059091460692e-81
Niben101Scf02171g00007	6.55045932546721	5.05598523194258e-81
Niben101Scf04316g08006	11.6914886101923	1.10431353506275e-13
Niben101Scf10330g02004	5.08221176102582	1.01614100738615e-79
Niben101Scf08020g06001	7.31282487221634	2.0370296885231e-79
Niben101Scf08797g00012	-11.6476590837632	1.97983933258289e-08
Niben101Scf07355g02001	11.6266851288007	7.64346780822417e-16
Niben101Scf11325g00011	5.12875842487478	2.31186261976195e-79
Niben101Scf00109g07005	11.5801504974946	7.73985046499828e-16
Niben101Scf05458g00003	6.20885145538817	2.30795370604535e-78
Niben101Scf01943g08004	6.02528400957148	2.13665522774025e-77
Niben101Scf04053g02006	11.5656753728398	2.18814811369209e-17
Niben101Scf03747g00005	11.5325413255826	9.45954684591063e-16
Niben101Scf08899g00008	7.59040246739938	4.48265271636974e-77
Niben101Scf00635g03003	11.5290318990423	4.36099642824008e-10
Niben101Scf06078g01001	-6.21946905885118	5.00943352297372e-77
Niben101Scf01027g01002	11.5134336873082	7.97038851268552e-14
Niben101Scf08196g01007	4.8279684954364	6.71910810707001e-77
Niben101Scf05824g00001	11.5044740131529	2.79247568388143e-19
Niben101Scf35444g00004	6.72754827164945	3.30456389975296e-75
Niben101Scf01147g04015	9.73637322340064	1.71650492621296e-74
Niben101Scf05813g09004	11.4910853181556	1.09522045561985e-13
Niben101Scf01785g07001	11.4800293054737	3.24186877042812e-19
Niben101Scf02465g00004	6.92747173884721	1.81925650712805e-74
Niben101Ctg06481g00003	11.4466931952654	1.8561285562521e-19
Niben101Scf08533g02018	4.61294950838335	1.75924886276434e-73
Niben101Scf01494g15010	11.4377210234386	4.77015814720335e-14
Niben101Scf09203g00003	4.18994030318696	4.36762907670012e-73
Niben101Scf01660g00007	-11.3270343832427	7.98455929099643e-19
Niben101Scf07863g00029	7.52266549074962	9.12971288349419e-73
Niben101Scf01090g00001	11.3135013072701	3.10196483027249e-14
Niben101Scf02658g01008	6.67494130544148	3.68684572532604e-72
Niben101Scf03444g04026	5.1702956050241	3.68684572532604e-72
Niben101Scf11072g00004	11.3095875323053	1.64163051702049e-18
Niben101Scf01836g00002	-7.30525903130826	4.55298879233341e-71
Niben101Scf04030g01005	11.2744038349605	4.20815825292727e-13
Niben101Scf01683g03005	11.2740508282642	1.19064514491621e-14
Niben101Scf05368g06017	5.48513157105057	1.27288154476621e-70
Niben101Ctg02231g00001	11.2534699723331	6.41410102002573e-17
Niben101Scf02257g01007	-5.05278793876636	1.35002140629899e-70
Niben101Scf02636g05003	11.2511478864971	1.47441964228145e-14
Niben101Scf11922g01019	10.0297194919448	1.41125644894444e-70
Niben101Scf03029g01010	5.53178023718791	1.71487217377689e-70
Niben101Scf04939g01006	11.2245325430622	9.55587080401823e-15
Niben101Scf05711g00021	6.05221994064078	6.53852976334762e-70
Niben101Scf06722g05003	11.209887077141	4.77375247385866e-17
Niben101Scf00262g05006	4.33612553082216	8.8006445806328e-69
Niben101Scf05166g02006	11.2046447508881	1.32897226044225e-18
Niben101Scf10488g01001	8.17155582799726	9.28869223934083e-69
Niben101Scf11609g02001	11.2024964698049	1.64221283654703e-18
Niben101Scf04820g01003	3.77811780535098	1.03902606144694e-68
Niben101Scf27527g00004	11.2007127813618	1.34278625248411e-31
Niben101Scf07121g03008	11.1791673501861	3.49504353695258e-08
Niben101Scf07586g00004	6.93246028259715	1.05836477305387e-68
Niben101Scf03029g01012	6.17773257049694	1.79365658255683e-68
Niben101Scf07462g01001	-11.1790819467379	1.74529883698175e-09
Niben101Scf08178g00009	5.80864298267718	3.68127440936999e-68
Niben101Scf09458g00011	11.1707100448135	6.48094752023673e-19
Niben101Scf02520g00006	4.12074272373195	7.03162748626239e-68
Niben101Scf02807g11019	-11.1393426243918	0.000162962291361835
Niben101Scf00640g04023	11.092997727966	4.48144927510423e-41
Niben101Scf05368g06016	5.17985751021955	1.19441046233292e-67
Niben101Ctg13610g00001	11.0798222267114	1.21339123169697e-14
Niben101Scf06684g03003	7.90268665461529	1.24799875199599e-67
Niben101Scf00851g02011	11.077560569621	5.17265506872119e-16
Niben101Scf11706g00004	4.38516041224749	1.59120411342134e-67
Niben101Scf11649g01009	10.1979893720676	2.17237566105774e-67
Niben101Scf18774g02001	11.0692926393625	4.11657905886192e-16
Niben101Scf02622g07001	7.26988321084104	2.8620831782411e-67
Niben101Scf07761g00005	11.0311602409862	1.94185166648049e-15
Niben101Scf01313g01005	10.9991590556813	1.77987626963484e-15
Niben101Scf08057g00006	6.28315866345151	7.09080146631116e-67
Niben101Scf03170g04002	10.9983041091317	3.18516582490307e-34
Niben101Scf10336g01001	7.11787102185326	1.1869473994539e-66
Niben101Scf02351g08017	10.9395492778022	7.66460367134862e-16
Niben101Scf02408g02009	-6.25573436142601	1.91936075376178e-66
Niben101Scf00151g07004	10.9235179486896	9.12634415987814e-18
Niben101Scf00876g00006	6.83412790147995	2.61404148770756e-66
Niben101Scf04950g07020	6.90180375490527	2.73665728864016e-66
Niben101Scf06739g05004	10.8992534429104	2.37857683394345e-12
Niben101Scf00264g02010	6.28282384845799	6.29915500994902e-66
Niben101Scf03218g00007	10.8578519451673	8.38366054595222e-17
Niben101Scf05084g02002	6.41479962436298	6.53538780452769e-66
Niben101Scf28230g00019	-10.8116269379962	3.34987137787416e-19
Niben101Scf00149g10001	10.8051197782205	9.15119672802645e-33
Niben101Scf07757g00006	5.49865730448255	7.25231224859578e-66
Niben101Scf02175g06018	10.7789812692028	8.11005738224384e-11
Niben101Scf13308g00004	6.99617099788387	1.28972102596444e-65
Niben101Scf08341g08001	10.7733487693184	2.87333660279033e-16
Niben101Scf22432g00001	10.5734862407572	3.54971843117334e-65
Niben101Scf04382g00015	4.72689813661874	5.94722351429265e-65
Niben101Scf17204g01003	10.770004726657	1.34615805318417e-12
Niben101Scf00821g16001	10.7528440647668	8.12686116268589e-46
Niben101Scf05348g04001	6.12527838672425	6.58878832666325e-65
Niben101Ctg15041g00004	6.21523398362298	7.22050081048363e-65
Niben101Scf06570g04006	10.7510350095305	6.3150004271887e-17
Niben101Scf03300g00003	10.7484210405814	2.48186590875107e-17
Niben101Scf04717g02003	10.5745237388096	1.00897017343901e-64
Niben101Scf05279g05006	6.80846282708028	1.04883255257897e-64
Niben101Scf10330g02003	10.7440291918088	7.41875105876719e-06
