log2FoldChange	padj
Niben101Scf03236g00004	-3.81865833810073	0.000941683406889629
Niben101Scf06949g02024	-1.81699140496274	0.000941683406889629
Niben101Scf03115g03025	-2.6596203795068	0.00221664829284892
Niben101Scf05060g04009	-3.81090395737279	0.00609559148897015
Niben101Scf04292g13001	-2.60701288327401	0.0199287326617826
Niben101Scf11047g00001	-3.27361501092651	0.0199287326617826
Niben101Scf01785g01009	-2.07183717837051	0.0240318316820534
Niben101Scf00193g01002	-1.48850046015102	0.0363388602075802
Niben101Scf01395g04002	-1.66930268007016	0.0363388602075802
Niben101Scf04103g03014	-3.42571419859725	0.0363388602075802
Niben101Scf06081g00005	1.90040646922327	0.0363388602075802
Niben101Scf02406g04011	-1.15187590024877	0.0383309250541358
Niben101Scf03135g00002	-1.20100180613547	0.0493616713790866
Niben101Scf03504g05001	-3.14308282129697	0.0493616713790866
