Run	Genotype 	Treatment	Short_name	Sample Name
E02	WT	MgCl2	WT_MgCl2	WT_MgCl2_rep1
F02	WT	EV	WT_EV	WT_EV_rep1
G02	WT	XopQ	WT_XopQ	WT_XopQ_rep1
H02	nrg	MgCl2	nrg_MgCl2	nrg_MgCl2_rep1
A03	nrg	EV	nrg_EV	nrg_EV_rep1
B03	nrg	XopQ	nrg_XopQ	nrg_XopQ_rep1
C03	epss	MgCl2	epss_MgCl2	epss_MgCl2_rep1
D03	epss	EV	epss_EV	epss_EV_rep1
E03	epss	XopQ	epss_XopQ	epss_XopQ_rep1
F03	epssna	MgCl2	epssna_MgCl2	epssna_MgCl2_rep1
G03	epssna	EV	epssna_EV	epssna_EV_rep1
H03	epssna	XopQ	epssna_XopQ	epssna_XopQ_rep1
A04	WT	MgCl2	WT_MgCl2	WT_MgCl2_rep2
B04	WT	EV	WT_EV	WT_EV_rep2
C04	WT	XopQ	WT_XopQ	WT_XopQ_rep2
D04	nrg	MgCl2	nrg_MgCl2	nrg_MgCl2_rep2
E04	nrg	EV	nrg_EV	nrg_EV_rep2
F04	nrg	XopQ	nrg_XopQ	nrg_XopQ_rep2
G04	epss	MgCl2	epss_MgCl2	epss_MgCl2_rep2
H04	epss	EV	epss_EV	epss_EV_rep2
A05	epss	XopQ	epss_XopQ	epss_XopQ_rep2
B05	epssna	MgCl2	epssna_MgCl2	epssna_MgCl2_rep2
C05	epssna	EV	epssna_EV	epssna_EV_rep2
D05	epssna	XopQ	epssna_XopQ	epssna_XopQ_rep2
E05	WT	MgCl2	WT_MgCl2	WT_MgCl2_rep3
F05	WT	EV	WT_EV	WT_EV_rep3
G05	WT	XopQ	WT_XopQ	WT_XopQ_rep3
H05	nrg	MgCl2	nrg_MgCl2	nrg_MgCl2_rep3
A06	nrg	EV	nrg_EV	nrg_EV_rep3
B06	nrg	XopQ	nrg_XopQ	nrg_XopQ_rep3
C06	epss	MgCl2	epss_MgCl2	epss_MgCl2_rep3
D06	epss	EV	epss_EV	epss_EV_rep3
E06	epss	XopQ	epss_XopQ	epss_XopQ_rep3
F06	epssna	MgCl2	epssna_MgCl2	epssna_MgCl2_rep3
G06	epssna	EV	epssna_EV	epssna_EV_rep3
H06	epssna	XopQ	epssna_XopQ	epssna_XopQ_rep3
