transcriptID	geneID
Niben101Scf03546g00006.1	Niben101Scf03546g00006
Niben101Scf03546g00007.1	Niben101Scf03546g00007
Niben101Scf03546g00003.1	Niben101Scf03546g00003
Niben101Scf03546g01023.1	Niben101Scf03546g01023
Niben101Scf03546g01009.1	Niben101Scf03546g01009
Niben101Scf03546g01022.1	Niben101Scf03546g01022
Niben101Scf03546g01013.1	Niben101Scf03546g01013
Niben101Scf03546g01006.1	Niben101Scf03546g01006
Niben101Scf03546g01012.1	Niben101Scf03546g01012
Niben101Scf04346g00001.1	Niben101Scf04346g00001
Niben101Scf06950g00004.1	Niben101Scf06950g00004
Niben101Scf07511g00001.1	Niben101Scf07511g00001
Niben101Scf07511g01004.1	Niben101Scf07511g01004
Niben101Scf07511g02004.1	Niben101Scf07511g02004
Niben101Scf07511g02010.1	Niben101Scf07511g02010
Niben101Scf07511g02006.1	Niben101Scf07511g02006
Niben101Scf07511g03008.1	Niben101Scf07511g03008
Niben101Scf07511g03007.1	Niben101Scf07511g03007
Niben101Scf07511g03006.1	Niben101Scf07511g03006
Niben101Ctg14336g00001.1	Niben101Ctg14336g00001
Niben101Scf17398g00005.1	Niben101Scf17398g00005
Niben101Scf17398g00008.1	Niben101Scf17398g00008
Niben101Scf17398g00012.1	Niben101Scf17398g00012
Niben101Scf17398g00013.1	Niben101Scf17398g00013
Niben101Scf17398g00011.1	Niben101Scf17398g00011
Niben101Scf17561g00009.1	Niben101Scf17561g00009
Niben101Scf04786g00010.1	Niben101Scf04786g00010
Niben101Scf04786g00012.1	Niben101Scf04786g00012
Niben101Scf04786g00011.1	Niben101Scf04786g00011
Niben101Scf04786g00001.1	Niben101Scf04786g00001
Niben101Scf04786g01004.1	Niben101Scf04786g01004
Niben101Scf04786g01001.1	Niben101Scf04786g01001
Niben101Scf04786g01003.1	Niben101Scf04786g01003
Niben101Scf04786g01002.1	Niben101Scf04786g01002
Niben101Scf00458g00001.1	Niben101Scf00458g00001
Niben101Scf00458g00003.1	Niben101Scf00458g00003
Niben101Scf00458g01005.1	Niben101Scf00458g01005
Niben101Scf00458g04008.1	Niben101Scf00458g04008
Niben101Scf00458g04002.1	Niben101Scf00458g04002
Niben101Scf00458g05001.1	Niben101Scf00458g05001
Niben101Scf03607g00010.1	Niben101Scf03607g00010
Niben101Scf03607g00009.1	Niben101Scf03607g00009
Niben101Scf03607g00008.1	Niben101Scf03607g00008
Niben101Scf03607g00011.1	Niben101Scf03607g00011
Niben101Scf03607g01005.1	Niben101Scf03607g01005
Niben101Scf03607g01014.1	Niben101Scf03607g01014
Niben101Scf03607g01013.1	Niben101Scf03607g01013
Niben101Scf03607g01008.1	Niben101Scf03607g01008
Niben101Scf03607g01010.1	Niben101Scf03607g01010
Niben101Scf03607g01016.1	Niben101Scf03607g01016
Niben101Scf03607g02008.1	Niben101Scf03607g02008
Niben101Scf03607g02007.1	Niben101Scf03607g02007
Niben101Scf03607g03003.1	Niben101Scf03607g03003
Niben101Scf09092g00001.1	Niben101Scf09092g00001
Niben101Scf09092g00017.1	Niben101Scf09092g00017
Niben101Scf09092g00018.1	Niben101Scf09092g00018
Niben101Scf09092g01008.1	Niben101Scf09092g01008
Niben101Scf09092g01009.1	Niben101Scf09092g01009
Niben101Scf09092g02011.1	Niben101Scf09092g02011
Niben101Scf09092g02012.1	Niben101Scf09092g02012
Niben101Scf03735g01006.1	Niben101Scf03735g01006
Niben101Scf03735g01008.1	Niben101Scf03735g01008
Niben101Scf03735g01024.1	Niben101Scf03735g01024
Niben101Scf03735g01005.1	Niben101Scf03735g01005
Niben101Scf03735g01004.1	Niben101Scf03735g01004
Niben101Scf03735g02006.1	Niben101Scf03735g02006
Niben101Scf03735g03014.1	Niben101Scf03735g03014
Niben101Scf03735g03015.1	Niben101Scf03735g03015
Niben101Scf03735g03013.1	Niben101Scf03735g03013
Niben101Scf03735g03010.1	Niben101Scf03735g03010
Niben101Scf03735g03012.1	Niben101Scf03735g03012
Niben101Scf03735g04007.1	Niben101Scf03735g04007
Niben101Scf03735g04005.1	Niben101Scf03735g04005
Niben101Scf03735g04002.1	Niben101Scf03735g04002
Niben101Scf03735g05001.1	Niben101Scf03735g05001
Niben101Scf03735g05003.1	Niben101Scf03735g05003
Niben101Scf03735g05004.1	Niben101Scf03735g05004
Niben101Scf03735g05002.1	Niben101Scf03735g05002
Niben101Scf03735g06006.1	Niben101Scf03735g06006
Niben101Scf03735g06007.1	Niben101Scf03735g06007
